Title,DOI,Link
Poison Forensics: Traceback of Data Poisoning Attacks in Neural Networks,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141000668&partnerID=40&md5=1badf934fec42ca067084e748d966481
DECOMPERSON: How Humans Decompile and What We Can Learn From It,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140993939&partnerID=40&md5=ca0b9c46c11e4e6f66b634c78247c1d3
A de-obfuscation system based on Markov models,10.1117/12.2640798,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140992386&doi=10.1117%2F12.2640798&partnerID=40&md5=60b5e190c8ee3227aaaba99ae3ba9557
BFEDroid: A Feature Selection Technique to Detect Malware in Android Apps Using Machine Learning,10.1155/2022/5339926,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140988892&doi=10.1155%2F2022%2F5339926&partnerID=40&md5=97c2c9c83b2b1aa2104855ba7a6ba778
Entropy and likelihood-based detection of DGA generated domain names and their families,10.1504/IJSN.2022.125512,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140986808&doi=10.1504%2FIJSN.2022.125512&partnerID=40&md5=c0b4bcb4d40c0139c4c65491c4b9d8a3
Hidden Trigger Backdoor Attack on NLP Models via Linguistic Style Manipulation,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140971775&partnerID=40&md5=8e96b0d01b8f253cb5d20ebd08112a4d
Deep Learning Methods for Malware and Intrusion Detection: A Systematic Literature Review,10.1155/2022/2959222,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140960490&doi=10.1155%2F2022%2F2959222&partnerID=40&md5=f0aeb64408ed556f55d92ebdd19918d4
SIMBIoTA++: Improved Similarity-based IoT Malware Detection,10.1109/CITDS54976.2022.9914145,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140956760&doi=10.1109%2FCITDS54976.2022.9914145&partnerID=40&md5=64cd017ee931707881442df235953d4c
Impact of Artificial Intelligence on Information Security in Business,10.1109/ICETSIS55481.2022.9888871,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140891685&doi=10.1109%2FICETSIS55481.2022.9888871&partnerID=40&md5=59f7d0245eccb8e8bd36686867172a5d
LOKI: A Hardware Trojan Affecting Multiple Components of an SoC,10.1109/ISVLSI54635.2022.00043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140891094&doi=10.1109%2FISVLSI54635.2022.00043&partnerID=40&md5=3c393043e4de573ba0e202b4423c2dfe
"Logo Detection and Localization for IC Authentication, Marking Recognition, and Counterfeit Detection",10.1109/IPFA55383.2022.9915713,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140883543&doi=10.1109%2FIPFA55383.2022.9915713&partnerID=40&md5=8064a48f80871bc961113013fa619626
Designing Robust Deep Learning Classifiers for Image-based Malware Analysis,10.1109/ICDCS54860.2022.00126,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140881001&doi=10.1109%2FICDCS54860.2022.00126&partnerID=40&md5=00943249412e93c11d84cd8b1927fc66
A Tale of Four Gates: Privilege Escalation and Permission Bypasses on Android Through App Components,10.1007/978-3-031-17146-8_12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140770718&doi=10.1007%2F978-3-031-17146-8_12&partnerID=40&md5=57374cf7d60e15ef2cd864b4f6519518
